order_id,line_number,product_id,qty,unit_price,line_discount_pct,tax_pct
60,1,29,1,27.7966,0.1495,0.0612
120,1,42,1,20.8432,0.0240,0.0323
180,1,33,6,15.7133,0.0646,0.0259
240,1,8,3,9.3665,0.0260,0.0133
300,1,50,4,23.6191,0.1634,0.0485
360,1,41,4,25.4846,0.0327,0.0258
420,1,28,1,7.1859,0.1216,0.0732
480,1,48,1,19.6941,0.0801,0.0430
540,1,44,1,23.8030,0.0833,0.0681
600,1,10,1,16.7218,0.0353,0.0906
660,1,15,1,35.8262,0.0845,0.0383
720,1,7,2,19.7095,0.2002,0.0274
780,1,30,1,34.5787,0.2721,0.0525
840,1,40,1,16.8776,0.0161,0.0195
900,1,4,3,14.1376,0.1208,0.0530
960,1,18,1,23.5478,0.3278,0.0279
1020,1,27,1,10.1901,0.0883,0.0939
1080,1,31,2,22.1872,0.0041,0.0334
1140,1,23,1,11.8758,0.0170,0.0463
1200,1,10,1,0.7901,0.0463,0.0082
1260,1,3,1,22.9999,0.0512,0.0089
1320,1,14,1,24.3820,0.0079,0.0778
1380,1,6,1,25.1734,0.0222,0.0228
1440,1,38,1,29.7760,0.0122,0.0157
1500,1,34,1,18.0596,0.0956,0.0460
1560,1,40,2,9.7025,0.0644,0.0023
1620,1,12,3,20.3750,0.0026,0.0428
1680,1,22,2,11.7672,0.3516,0.0823
1740,1,19,2,20.6994,0.0164,0.0720
1800,1,20,1,30.1694,0.1783,0.0109
1860,1,50,2,36.0917,0.0710,0.1009
1920,1,16,2,1.1676,0.1724,0.0606
1980,1,46,2,8.4823,0.0658,0.1048
2040,1,6,1,21.7219,0.0860,0.0392
2100,1,40,4,16.4774,0.0427,0.0198
2160,1,13,1,5.8605,0.2040,0.0192
2220,1,39,2,23.4134,0.0147,0.0238
2280,1,9,2,24.4944,0.1787,0.0323
2340,1,21,1,21.3050,0.0900,0.0657
2400,1,29,2,7.2331,0.3859,0.0302
2460,1,47,1,24.2866,0.0030,0.0614
2520,1,43,1,16.1586,0.2762,0.0259
2580,1,32,1,32.7905,0.0464,0.0792
2640,1,22,2,11.7129,0.2033,0.0382
2700,1,22,1,29.4540,0.0798,0.0333
2760,1,16,1,27.3988,0.1047,0.0339
2820,1,2,2,18.2806,0.0378,0.0386
2880,1,46,2,33.3398,0.0039,0.0537
2940,1,12,2,13.0000,0.1017,0.0140
3000,1,16,3,9.9117,0.0377,0.0309
