sensor_ts,store_id,shelf_id,temperature_c,humidity_pct,battery_mv
2024-01-01T00:00:53,2,sensor-2,22.95,32.72,3457
2024-01-02T00:09:43,2,sensor-12,20.08,47.84,4189
2024-01-01T00:18:33,2,sensor-22,26.13,41.05,3509
2024-01-02T00:27:23,2,sensor-32,22.37,57.81,4101
2024-01-01T00:36:13,2,sensor-42,23.46,67.78,3691
2024-01-02T00:45:03,2,sensor-2,19.76,35.11,3495
2024-01-01T00:53:53,2,sensor-12,17.95,56.53,4077
2024-01-02T01:02:43,2,sensor-22,22.98,49.65,3368
2024-01-01T01:11:33,2,sensor-32,19.08,42.88,3712
2024-01-02T01:20:23,2,sensor-42,20.52,39.43,3936
2024-01-01T01:29:13,2,sensor-2,24.97,32.30,3340
2024-01-02T01:38:03,2,sensor-12,22.70,40.44,3348
2024-01-01T01:46:53,2,sensor-22,21.88,23.50,4157
2024-01-02T01:55:43,2,sensor-32,18.17,40.25,3459
2024-01-01T02:04:33,2,sensor-42,23.03,47.73,3913
2024-01-02T02:13:23,2,sensor-2,23.29,43.87,3949
2024-01-01T02:22:13,2,sensor-12,24.60,50.57,4196
2024-01-02T02:31:03,2,sensor-22,18.98,39.94,3110
2024-01-01T02:39:53,2,sensor-32,21.75,47.50,4141
2024-01-02T02:48:43,2,sensor-42,22.44,44.18,4002
2024-01-01T02:57:33,2,sensor-2,21.72,53.93,3621
2024-01-02T03:06:23,2,sensor-12,25.53,34.65,3062
2024-01-01T03:15:13,2,sensor-22,24.63,21.12,3077
2024-01-02T03:24:03,2,sensor-32,26.44,56.50,3216
2024-01-01T03:32:53,2,sensor-42,28.06,32.91,4190
2024-01-02T03:41:43,2,sensor-2,25.07,31.78,3500
2024-01-01T03:50:33,2,sensor-12,23.35,54.89,3539
2024-01-02T03:59:23,2,sensor-22,24.39,39.21,3089
2024-01-01T04:08:13,2,sensor-32,23.24,49.83,3394
2024-01-02T04:17:03,2,sensor-42,21.89,56.51,4185
2024-01-01T04:25:53,2,sensor-2,21.70,31.78,3121
2024-01-02T04:34:43,2,sensor-12,23.48,48.97,3755
2024-01-01T04:43:33,2,sensor-22,24.93,34.11,3559
2024-01-02T04:52:23,2,sensor-32,22.66,46.54,3482
2024-01-01T05:01:13,2,sensor-42,19.08,49.06,3175
2024-01-02T05:10:03,2,sensor-2,25.62,38.88,3934
2024-01-01T05:18:53,2,sensor-12,17.96,50.42,3113
2024-01-02T05:27:43,2,sensor-22,24.06,52.68,3580
2024-01-01T05:36:33,2,sensor-32,25.25,64.22,3766
2024-01-02T05:45:23,2,sensor-42,23.69,21.87,3137
2024-01-01T05:54:13,2,sensor-2,25.78,34.60,4033
2024-01-02T06:03:03,2,sensor-12,25.95,34.78,3937
2024-01-01T06:11:53,2,sensor-22,16.78,45.79,3179
2024-01-02T06:20:43,2,sensor-32,19.77,8.98,3985
2024-01-01T06:29:33,2,sensor-42,13.76,63.72,3686
2024-01-02T06:38:23,2,sensor-2,20.48,35.82,3847
2024-01-01T06:47:13,2,sensor-12,25.36,48.13,3543
2024-01-02T06:56:03,2,sensor-22,22.50,44.53,3036
2024-01-01T07:04:53,2,sensor-32,23.57,46.95,4038
2024-01-02T07:13:43,2,sensor-42,19.54,47.36,3250
2024-01-01T07:22:33,2,sensor-2,23.52,35.16,3637
2024-01-02T07:31:23,2,sensor-12,16.25,65.30,3699
2024-01-01T07:40:13,2,sensor-22,17.66,59.94,3268
2024-01-02T07:49:03,2,sensor-32,23.49,42.45,3308
2024-01-01T07:57:53,2,sensor-42,29.32,65.10,3953
2024-01-02T08:06:43,2,sensor-2,20.64,46.72,3117
2024-01-01T08:15:33,2,sensor-12,21.60,40.80,3683
2024-01-02T08:24:23,2,sensor-22,22.44,28.37,4121
2024-01-01T08:33:13,2,sensor-32,23.54,66.72,4116
2024-01-02T08:42:03,2,sensor-42,25.55,47.90,3149
2024-01-01T08:50:53,2,sensor-2,31.29,27.57,4092
2024-01-02T08:59:43,2,sensor-12,21.35,37.34,3162
2024-01-01T09:08:33,2,sensor-22,17.36,39.24,4074
2024-01-02T09:17:23,2,sensor-32,24.84,43.89,3734
2024-01-01T09:26:13,2,sensor-42,22.32,43.37,3060
2024-01-02T09:35:03,2,sensor-2,20.52,46.36,4068
2024-01-01T09:43:53,2,sensor-12,21.52,47.98,4079
2024-01-02T09:52:43,2,sensor-22,23.62,20.38,3435
2024-01-01T10:01:33,2,sensor-32,19.52,52.74,3259
2024-01-02T10:10:23,2,sensor-42,17.83,22.10,3952
2024-01-01T10:19:13,2,sensor-2,26.28,59.88,4023
2024-01-02T10:28:03,2,sensor-12,25.54,44.19,3952
2024-01-01T10:36:53,2,sensor-22,25.39,53.28,3429
2024-01-02T10:45:43,2,sensor-32,20.17,40.53,3329
2024-01-01T10:54:33,2,sensor-42,21.65,30.97,4151
2024-01-02T11:03:23,2,sensor-2,19.42,50.06,3909
2024-01-01T11:12:13,2,sensor-12,25.58,47.25,3968
2024-01-02T11:21:03,2,sensor-22,17.81,46.04,3194
2024-01-01T11:29:53,2,sensor-32,10.98,38.63,3149
2024-01-02T11:38:43,2,sensor-42,20.71,32.89,4182
2024-01-01T11:47:33,2,sensor-2,27.89,50.52,3362
