product_id,sku,name,category,subcategory,current_price,currency,is_discontinued,introduced_dt,discontinued_dt
1,SKU-LAV714,Dolor Blanditiis,Clothing,Men,64.9014,AUD,False,2019-06-09,
2,SKU-VML90P,Ullam Molestias,Toys,Educational,45.8521,AUD,False,2021-04-20,
3,SKU-Y72IVG,Ipsa Eum,Clothing,Kids,69.4307,AUD,False,2022-11-15,
4,SKU-8O98BV,Expedita Id,Sports,Fitness,95.6909,AUD,False,2020-07-25,
5,SKU-F0I9G5,Numquam Sunt,Electronics,Audio,42.9754,AUD,False,2017-10-19,
6,SKU-YM2ZBP,Debitis Delectus,Food,Groceries,42.9759,AUD,False,2019-04-01,
7,SKU-MN32U1,Qui Dolores,Home,Decor,97.3764,AUD,False,2015-05-17,
8,SKU-KL8CGN,Aliquam Aliquid,Toys,Indoor,73.0230,AUD,False,2016-01-17,
9,SKU-M96ZPX,Ut Magnam,Sports,Outdoor,35.9158,AUD,False,2017-04-21,
10,SKU-9OT7TX,Itaque Pariatur,Clothing,Women,66.2768,AUD,False,2021-03-01,
11,SKU-4FMPKX,Omnis Quis,Sports,Outdoor,36.0975,AUD,True,2016-11-30,2017-06-15
12,SKU-RE2Q6J,Fugit Quo,Toys,Games,36.0281,AUD,False,2019-04-12,
13,SKU-NQJQIJ,Numquam Deleniti,Electronics,Computers,57.2589,AUD,False,2015-12-18,
14,SKU-Y3O1IC,Voluptatem Quis,Food,Snacks,7.3984,AUD,False,2024-09-20,
15,SKU-7UIKO4,Dolorum Rerum,Electronics,Computers,1.7475,AUD,False,2016-12-09,
16,SKU-8GHGBC,Saepe Odit,Toys,Educational,33.1314,AUD,False,2016-08-28,
17,SKU-4J66CN,Suscipit Tempora,Food,Snacks,19.6151,AUD,False,2020-02-20,
18,SKU-7AZV2E,Recusandae Nostrum,Home,Decor,59.4274,AUD,False,2016-02-15,
19,SKU-7UDKTM,Qui Tempore,Food,Beverages,22.7593,AUD,False,2021-10-30,
20,SKU-RGOWYO,Tempore Quibusdam,Food,Beverages,7.6309,AUD,True,2020-04-30,2025-06-10
21,SKU-NM2L44,Ipsa Laborum,Toys,Indoor,93.9695,AUD,False,2018-05-15,
22,SKU-9P3JPX,Perspiciatis Quis,Home,Bedding,43.2267,AUD,False,2023-04-23,
23,SKU-RSNC2C,Eum Commodi,Toys,Games,52.0258,AUD,False,2020-11-17,
24,SKU-5BG34I,Numquam Inventore,Food,Groceries,7.2576,AUD,False,2018-01-27,
25,SKU-NQO7YI,Maiores Neque,Food,Snacks,33.6685,AUD,False,2020-04-27,
26,SKU-VMF60Y,Facilis Dolor,Clothing,Men,53.3277,AUD,False,2021-06-01,
27,SKU-2HHIHX,Incidunt Accusamus,Sports,Fitness,15.4702,AUD,False,2022-08-26,
28,SKU-A6XVAJ,A Quasi,Clothing,Kids,61.2709,AUD,False,2018-11-29,
29,SKU-QHKSWV,Deleniti Laborum,Electronics,Audio,31.9808,AUD,False,2018-03-03,
30,SKU-KDC9X5,Illo Optio,Clothing,Kids,41.2492,AUD,False,2017-09-11,
31,SKU-622VXY,Quibusdam Accusamus,Toys,Indoor,31.9488,AUD,False,2017-11-28,
32,SKU-6O0U93,Voluptas Porro,Clothing,Women,105.5683,AUD,False,2020-05-02,
33,SKU-6YS445,Perferendis In,Home,Kitchen,49.5951,AUD,False,2017-11-25,
34,SKU-0U686X,Accusamus Non,Home,Kitchen,18.2687,AUD,False,2019-09-19,
35,SKU-2LJK4Q,Illum Saepe,Toys,Games,74.6763,AUD,False,2020-04-18,
36,SKU-6S5NKB,Eveniet Ab,Home,Decor,13.3747,AUD,False,2021-05-21,
37,SKU-69F5GC,Quo Minima,Clothing,Women,56.2659,AUD,False,2020-01-26,
38,SKU-J1G1R1,Eaque Neque,Electronics,Computers,8.7901,AUD,False,2019-07-11,
39,SKU-PRAT08,Ratione Nostrum,Clothing,Women,10.1544,AUD,True,2023-03-24,2027-03-13
40,SKU-5LDSLC,Nam Expedita,Electronics,Audio,55.9058,AUD,False,2020-11-01,
41,SKU-VM59M6,Dolorem Tenetur,Clothing,Women,72.1540,AUD,False,2024-02-08,
42,SKU-OI0E0V,Molestias Minus,Home,Furniture,55.1410,AUD,False,2015-06-03,
43,SKU-NX1WVB,Est Fuga,Electronics,Phones,46.5306,AUD,False,2019-12-25,
44,SKU-NTRFZW,Beatae Nisi,Clothing,Accessories,40.9669,AUD,False,2018-01-10,
45,SKU-WZP6SW,Sunt Excepturi,Clothing,Men,5.6443,AUD,False,2021-10-30,
46,SKU-HJSHZK,Quas Similique,Electronics,Cameras,28.4047,AUD,False,2020-05-22,
47,SKU-LAY64Y,Voluptate Vitae,Home,Furniture,36.1808,AUD,False,2023-02-11,
48,SKU-DJI9KQ,Fugit Id,Electronics,Computers,81.7137,AUD,False,2019-01-15,
49,SKU-2L0D1B,Totam Quibusdam,Home,Decor,60.3085,AUD,False,2021-12-21,
50,SKU-J0NMEO,Fugiat Neque,Food,Beverages,2.8912,AUD,False,2020-05-12,
