order_id,order_ts,order_dt_local,customer_id,store_id,channel,payment_method,coupon_code,shipping_fee,currency
55,2024-02-25 01:28:55.000715,2024-02-25,13,2,pos,cash,,4.81,AUD
115,2024-02-25 03:05:55.001495,2024-02-25,144,7,pos,card,,5.55,AUD
175,2024-02-25 04:42:55.002275,2024-02-25,84,7,pos,cash,,2.56,AUD
235,2024-02-25 06:19:55.003055,2024-02-25,106,9,pos,paypal,,2.16,AUD
295,2024-02-25 07:56:55.003835,2024-02-25,63,3,pos,cash,,1.65,AUD
355,2024-02-25 09:33:55.004615,2024-02-25,138,8,web,card,,0.67,AUD
415,2024-02-25 11:10:55.005395,2024-02-25,72,5,pos,cash,,8.70,AUD
475,2024-02-25 12:47:55.006175,2024-02-25,71,9,web,card,,1.60,AUD
535,2024-02-25 14:24:55.006955,2024-02-25,59,8,web,cash,,8.64,AUD
595,2024-02-25 16:01:55.007735,2024-02-25,123,9,web,card,,6.78,AUD
655,2024-02-25 17:38:55.008515,2024-02-25,42,7,web,giftcard,CPN7557,5.28,AUD
715,2024-02-25 19:15:55.009295,2024-02-25,119,2,pos,giftcard,,8.06,AUD
775,2024-02-25 20:52:55.010075,2024-02-25,160,9,web,card,,5.10,AUD
835,2024-02-25 22:29:55.010855,2024-02-25,149,10,web,card,CPN6104,6.72,AUD
895,2024-02-25 00:06:55.011635,2024-02-25,81,5,pos,card,,6.19,AUD
955,2024-02-25 01:43:55.012415,2024-02-25,25,7,pos,paypal,,7.11,AUD
1015,2024-02-25 03:20:55.013195,2024-02-25,111,4,web,cash,,8.77,AUD
1075,2024-02-25 04:57:55.013975,2024-02-25,126,7,web,giftcard,,0.00,AUD
1135,2024-02-25 06:34:55.014755,2024-02-25,137,6,pos,cash,,2.80,AUD
1195,2024-02-25 08:11:55.015535,2024-02-25,143,6,web,card,,0.00,AUD
1255,2024-02-25 09:48:55.016315,2024-02-25,17,7,pos,giftcard,,9.08,AUD
1315,2024-02-25 11:25:55.017095,2024-02-25,781,167,web,paypal,CPN6007,7.31,AUD
1375,2024-02-25 13:02:55.017875,2024-02-25,36,1,web,cash,,6.48,AUD
1435,2024-02-25 14:39:55.018655,2024-02-25,136,7,pos,giftcard,,2.09,AUD
1495,2024-02-25 16:16:55.019435,2024-02-25,65,1,pos,card,,11.39,AUD
1555,2024-02-25 17:53:55.020215,2024-02-25,43,6,pos,cash,,3.97,AUD
1615,2024-02-25 19:30:55.020995,2024-02-25,100,5,pos,paypal,,2.48,AUD
1675,2024-02-25 21:07:55.021775,2024-02-25,86,2,web,paypal,,5.82,AUD
1735,2024-02-25 22:44:55.022555,2024-02-25,80,6,web,cash,,10.42,AUD
1795,2024-02-25 00:21:55.023335,2024-02-25,41,5,web,giftcard,,8.75,AUD
1855,2024-02-25 01:58:55.024115,2024-02-25,88,8,pos,paypal,,3.66,AUD
1915,2024-02-25 03:35:55.024895,2024-02-25,9,2,web,card,,4.47,AUD
1975,2024-02-25 05:12:55.025675,2024-02-25,89,2,pos,paypal,,4.55,AUD
2035,2024-02-25 06:49:55.026455,2024-02-25,116,6,web,cash,,4.54,AUD
2095,2024-02-25 08:26:55.027235,2024-02-25,142,1,pos,giftcard,,7.82,AUD
2155,2024-02-25 10:03:55.028015,2024-02-25,10,10,web,cash,,8.58,AUD
2215,2024-02-25 11:40:55.028795,2024-02-25,137,2,web,giftcard,,6.34,AUD
2275,2024-02-25 13:17:55.029575,2024-02-25,49,2,web,paypal,,4.59,AUD
2335,2024-02-25 14:54:55.030355,2024-02-25,132,5,web,paypal,,1.53,AUD
2395,2024-02-25 16:31:55.031135,2024-02-25,126,1,web,card,,2.60,AUD
2455,2024-02-25 18:08:55.031915,2024-02-25,85,5,pos,paypal,,8.09,AUD
2515,2024-02-25 19:45:55.032695,2024-02-25,118,6,pos,card,,4.66,AUD
2575,2024-02-25 21:22:55.033475,2024-02-25,4,7,web,cash,,5.80,AUD
2635,2024-02-25 22:59:55.034255,2024-02-25,24,6,web,card,,6.69,AUD
2695,2024-02-25 00:36:55.035035,2024-02-25,120,5,pos,paypal,,7.76,AUD
2755,2024-02-25 02:13:55.035815,2024-02-25,143,9,web,giftcard,,4.50,AUD
2815,2024-02-25 03:50:55.036595,2024-02-25,4,10,pos,card,,0.67,AUD
2875,2024-02-25 05:27:55.037375,2024-02-25,144,8,pos,card,,10.34,AUD
2935,2024-02-25 07:04:55.038155,2024-02-25,66,1,pos,giftcard,,5.08,AUD
2995,2024-02-25 08:41:55.038935,2024-02-25,135,10,web,card,,9.53,AUD
