order_id,order_ts,order_dt_local,customer_id,store_id,channel,payment_method,coupon_code,shipping_fee,currency
29,2024-01-30 00:46:53.000377,2024-01-30,111,5,web,card,,5.58,AUD
89,2024-01-30 02:23:53.001157,2024-01-30,42,8,web,giftcard,,4.41,AUD
149,2024-01-30 04:00:53.001937,2024-01-30,114,2,pos,giftcard,,4.44,AUD
209,2024-01-30 05:37:53.002717,2024-01-30,132,1,pos,giftcard,,3.31,AUD
269,2024-01-30 07:14:53.003497,2024-01-30,157,8,web,giftcard,,5.45,AUD
329,2024-01-30 08:51:53.004277,2024-01-30,126,4,pos,cash,,7.02,AUD
389,2024-01-30 10:28:53.005057,2024-01-30,105,6,pos,cash,,6.91,AUD
449,2024-01-30 12:05:53.005837,2024-01-30,124,2,pos,card,,8.14,AUD
509,2024-01-30 13:42:53.006617,2024-01-30,104,9,web,card,,5.91,AUD
569,2024-01-30 15:19:53.007397,2024-01-30,22,5,web,paypal,,5.36,AUD
629,2024-01-30 16:56:53.008177,2024-01-30,143,7,web,cash,,8.98,AUD
689,2024-01-30 18:33:53.008957,2024-01-30,23,10,web,card,,4.71,AUD
749,2024-01-30 20:10:53.009737,2024-01-30,4,8,web,cash,,0.84,AUD
809,2024-01-30 21:47:53.010517,2024-01-30,138,1,web,cash,,3.09,AUD
869,2024-01-30 23:24:53.011297,2024-01-30,56,8,pos,giftcard,,8.57,AUD
929,2024-01-30 01:01:53.012077,2024-01-30,35,9,pos,paypal,CPN5407,7.11,AUD
989,2024-01-30 02:38:53.012857,2024-01-30,116,6,pos,paypal,,5.09,AUD
1049,2024-01-30 04:15:53.013637,2024-01-30,94,9,pos,cash,,4.97,AUD
1109,2024-01-30 05:52:53.014417,2024-01-30,13,9,web,giftcard,,3.49,AUD
1169,2024-01-30 07:29:53.015197,2024-01-30,53,4,web,giftcard,,8.57,AUD
1229,2024-01-30 09:06:53.015977,2024-01-30,28,7,pos,paypal,,8.51,AUD
1289,2024-01-30 10:43:53.016757,2024-01-30,19,3,web,card,CPN6593,4.20,AUD
1349,2024-01-30 12:20:53.017537,2024-01-30,142,5,pos,giftcard,,8.30,AUD
1409,2024-01-30 13:57:53.018317,2024-01-30,25,1,web,paypal,,10.37,AUD
1469,2024-01-30 15:34:53.019097,2024-01-30,9,7,pos,cash,,3.77,AUD
1529,2024-01-30 17:11:53.019877,2024-01-30,149,3,pos,giftcard,,8.69,AUD
1589,2024-01-30 18:48:53.020657,2024-01-30,34,7,web,cash,,8.17,AUD
1649,2024-01-30 20:25:53.021437,2024-01-30,20,3,web,giftcard,,9.80,AUD
1709,2024-01-30 22:02:53.022217,2024-01-30,145,6,web,card,,7.71,AUD
1769,2024-01-30 23:39:53.022997,2024-01-30,81,7,pos,card,,5.93,AUD
1829,2024-01-30 01:16:53.023777,2024-01-30,24,9,web,cash,,7.44,AUD
1889,2024-01-30 02:53:53.024557,2024-01-30,94,5,pos,card,,8.32,AUD
1949,2024-01-30 04:30:53.025337,2024-01-30,35,2,web,giftcard,,7.32,AUD
2009,2024-01-30 06:07:53.026117,2024-01-30,31,4,pos,giftcard,,2.93,AUD
2069,2024-01-30 07:44:53.026897,2024-01-30,158,2,pos,card,CPN2018,6.37,AUD
2129,2024-01-30 09:21:53.027677,2024-01-30,110,7,pos,card,,3.46,AUD
2189,2024-01-30 10:58:53.028457,2024-01-30,36,1,pos,giftcard,,3.24,AUD
2249,2024-01-30 12:35:53.029237,2024-01-30,37,8,web,paypal,,5.14,AUD
2309,2024-01-30 14:12:53.030017,2024-01-30,140,4,pos,paypal,,10.58,AUD
2369,2024-01-30 15:49:53.030797,2024-01-30,144,6,web,paypal,,6.55,AUD
2429,2024-01-30 17:26:53.031577,2024-01-30,66,9,pos,paypal,,6.83,AUD
2489,2024-01-30 19:03:53.032357,2024-01-30,4,10,pos,card,,4.06,AUD
2549,2024-01-30 20:40:53.033137,2024-01-30,22,4,pos,cash,,7.66,AUD
2609,2024-01-30 22:17:53.033917,2024-01-30,70,7,pos,cash,,7.85,AUD
2669,2024-01-30 23:54:53.034697,2024-01-30,1137,174,pos,giftcard,,1.62,AUD
2729,2024-01-30 01:31:53.035477,2024-01-30,123,4,web,card,,0.70,AUD
2789,2024-01-30 03:08:53.036257,2024-01-30,160,6,pos,card,,1.68,AUD
2849,2024-01-30 04:45:53.037037,2024-01-30,7,4,pos,card,,3.19,AUD
2909,2024-01-30 06:22:53.037817,2024-01-30,65,5,pos,giftcard,,8.70,AUD
2969,2024-01-30 07:59:53.038597,2024-01-30,116,1,pos,cash,CPN7358,0.00,AUD
