order_id,line_number,product_id,qty,unit_price,line_discount_pct,tax_pct
32,1,43,2,26.4084,0.0075,0.0595
32,2,21,5,13.5306,0.1355,0.0298
32,3,34,1,21.9791,0.0401,0.0144
32,4,4,4,19.0337,0.1137,0.0066
32,5,1,2,35.7399,0.2656,0.1297
92,1,45,1,24.4509,0.1737,0.0292
92,2,41,1,24.8388,0.2214,0.0141
92,3,9,1,32.2898,0.0433,0.0169
92,4,19,4,13.3222,0.1012,0.0725
92,5,34,1,44.1005,0.1888,0.0190
152,1,28,2,8.2593,0.3736,0.0509
152,2,40,1,7.2859,0.0011,0.0249
152,3,31,1,5.0399,0.0343,0.0200
152,4,23,4,13.9165,0.1233,0.0347
152,5,48,3,27.2283,0.0986,0.0345
212,1,32,1,31.9545,0.1436,0.0162
212,2,33,2,31.5683,0.0072,0.0285
212,3,45,3,17.5904,0.4827,0.0148
212,4,7,3,22.2037,0.0453,0.0545
212,5,41,2,22.2090,0.0192,0.0314
272,1,47,2,36.6043,0.1143,0.0141
272,2,44,3,18.2801,0.0312,0.0218
272,3,47,1,32.4847,0.0714,0.0264
272,4,25,3,8.7775,0.0702,0.0267
272,5,3,1,25.9904,0.2103,0.0338
332,1,21,3,17.2870,0.0480,0.0417
332,2,30,5,24.8088,0.0078,0.0442
332,3,12,2,13.4339,0.0632,0.0946
332,4,22,7,17.2452,0.0109,0.0282
332,5,48,1,19.3299,0.0502,0.0035
392,1,8,3,16.7267,0.2554,0.0561
392,2,25,3,28.5229,0.0543,0.0739
392,3,45,1,11.0063,0.0950,0.0395
392,4,2,2,24.5399,0.0881,0.0156
392,5,6,3,21.7048,0.1439,0.0307
452,1,7,2,37.8064,0.0648,0.0075
452,2,22,1,24.1746,0.0169,0.0568
452,3,33,2,10.2933,0.1317,0.0381
452,4,16,4,24.2698,0.2049,0.0175
452,5,46,2,10.5685,0.1862,0.0421
512,1,25,1,8.6939,0.2709,0.0327
512,2,2,1,23.5867,0.0273,0.0391
512,3,40,1,23.2656,0.0185,0.0497
512,4,40,2,28.8731,0.0045,0.0041
512,5,37,1,22.5578,0.0468,0.0513
572,1,28,2,20.0212,0.0691,0.0284
572,2,35,1,22.4191,0.0938,0.0147
572,3,30,1,21.0115,0.1596,0.0310
572,4,34,1,39.3756,0.2695,0.0318
572,5,42,2,34.8616,0.0021,0.0298
632,1,22,2,18.3982,0.0655,0.0354
632,2,40,1,19.9892,0.0167,0.0384
632,3,37,2,23.6218,0.1262,0.0406
632,4,15,1,29.5958,0.0166,0.0215
632,5,45,2,9.3004,0.2135,0.0337
692,1,6,1,8.1206,0.0289,0.0182
692,2,16,4,23.3689,0.1527,0.0264
692,3,38,3,31.5611,0.0337,0.0898
692,4,46,3,30.7742,0.0432,0.0130
692,5,22,5,13.6756,0.0137,0.0776
752,1,15,2,38.5580,0.1288,0.0697
752,2,49,3,18.4108,0.0659,0.0164
752,3,50,4,28.7562,0.0936,0.0298
752,4,42,2,14.0205,0.0656,0.0329
752,5,50,2,24.0361,0.0567,0.0246
812,1,47,1,9.9729,0.0238,0.0089
812,2,19,2,29.7192,0.0174,0.0574
812,3,40,1,18.6554,0.0729,0.0338
812,4,11,2,12.6518,0.0374,0.0210
812,5,36,1,11.2798,0.1407,0.0469
872,1,31,1,28.0667,0.0225,0.0385
872,2,18,1,12.2779,0.0852,0.0346
872,3,1,4,26.9250,0.0828,0.0160
872,4,11,2,20.0454,0.2796,0.0031
872,5,36,1,19.8808,0.1093,0.1067
932,1,29,1,20.9954,0.0272,0.0503
