order_id,line_number,product_id,qty,unit_price,line_discount_pct,tax_pct
19,1,37,1,24.4212,0.0567,0.0247
19,2,13,1,18.7421,0.2049,0.0675
19,3,17,1,15.7312,0.0313,0.0018
19,4,23,1,11.8153,0.0155,0.0082
79,1,25,1,13.0946,0.0040,0.0243
79,2,41,2,24.5253,0.0706,0.0536
79,3,47,2,17.9069,0.1429,0.0452
79,4,42,3,9.8268,0.1743,0.0059
139,1,50,1,14.3349,0.1282,0.0264
139,2,33,2,6.9263,0.4053,0.0175
139,3,24,1,24.9471,0.1459,0.0101
139,4,15,1,2.7882,0.1429,0.0654
199,1,6,1,12.2697,0.0053,0.0501
199,2,2,1,18.4146,0.0356,0.0321
199,3,48,3,18.3805,0.0690,0.0290
199,4,42,1,35.9140,0.0368,0.0043
259,1,11,3,1.8801,0.0896,0.0115
259,2,30,1,15.8508,0.0611,0.0193
259,3,2,4,23.4257,0.0488,0.0252
259,4,49,2,7.0688,0.0354,0.0248
319,1,12,4,35.7987,0.1085,0.0106
319,2,28,1,28.9890,0.2651,0.0349
319,3,50,1,19.1133,0.1372,0.0441
319,4,36,5,13.2519,0.0048,0.0050
379,1,37,1,18.8259,0.0067,0.0160
379,2,2,2,20.0728,0.1162,0.0261
379,3,35,4,37.2833,0.2903,0.0203
379,4,33,1,21.1960,0.1988,0.0551
439,1,5,1,10.4889,0.0897,0.0457
439,2,35,4,10.7015,0.0854,0.0207
439,3,12,1,30.0138,0.0703,0.0447
439,4,21,1,23.1314,0.0550,0.0619
499,1,1,2,12.8417,0.0341,0.0988
499,2,10,4,20.1926,0.1775,0.0101
499,3,10,2,9.8627,0.0750,0.0351
499,4,28,1,25.8652,0.0340,0.0164
559,1,25,2,31.9248,0.0385,0.0536
559,2,7,1,28.4635,0.0106,0.0122
559,3,17,1,14.9214,0.0370,0.0741
559,4,1,4,17.1263,0.1815,0.0398
619,1,7,2,8.5234,0.1523,0.0580
619,2,13,2,8.4366,0.0244,0.0413
619,3,40,2,25.7636,0.1561,0.0860
619,4,3,4,21.5163,0.0540,0.0537
679,1,17,1,15.8794,0.0889,0.0293
679,2,8,1,19.5584,0.0878,0.0490
679,3,2,2,9.2134,0.0326,0.1132
679,4,11,1,24.4066,0.1059,0.0104
739,1,27,1,26.9604,0.0441,0.0983
739,2,19,3,17.5890,0.1647,0.0904
739,3,46,2,8.4437,0.0929,0.0023
739,4,8,5,19.1097,0.1769,0.0059
799,1,42,4,31.9405,0.0836,0.0419
799,2,18,4,15.1677,0.0429,0.0115
799,3,15,1,18.4070,0.0626,0.0194
799,4,24,3,6.3864,0.2951,0.0470
859,1,10,1,17.7497,0.0410,0.1040
859,2,25,3,30.3140,0.0341,0.0072
859,3,35,2,2.6309,0.1680,0.0830
859,4,44,3,20.9884,0.0829,0.1432
919,1,33,3,18.1583,0.1100,0.0130
919,2,16,2,24.8450,0.0141,0.0153
919,3,10,1,10.6505,0.0091,0.0334
919,4,41,2,16.6807,0.0391,0.0420
979,1,8,2,24.0767,0.1758,0.0435
979,2,49,1,30.6687,0.0428,0.0135
979,3,33,7,22.1217,0.0009,0.0060
979,4,42,1,24.0146,0.0561,0.0456
1039,1,26,1,10.5656,0.1407,0.0974
1039,2,1,1,21.0756,0.2698,0.0509
1039,3,21,3,29.3995,0.0051,0.0032
1039,4,46,5,37.5114,0.0019,0.0123
1099,1,18,2,36.0064,0.1063,0.0536
1099,2,28,3,9.7669,0.0218,0.0114
1099,3,40,3,9.9818,0.1609,0.0634
1099,4,22,1,30.8810,0.0867,0.0056
1159,1,26,2,24.1429,0.2562,0.0138
1159,2,34,2,17.8209,0.0207,0.0467
1159,3,44,1,15.5824,0.2052,0.1047
1159,4,6,1,18.3204,0.1793,0.0195
1219,1,12,2,20.5318,0.0905,0.0249
1219,2,15,4,7.5133,0.0239,0.0248
1219,3,19,3,19.8879,0.1239,0.0285
1219,4,27,2,19.5173,0.1147,0.0452
1279,1,5,3,15.5685,0.0628,0.0746
1279,2,45,1,5.1932,0.1082,0.0295
