order_id,line_number,product_id,qty,unit_price,line_discount_pct,tax_pct
43,1,20,1,18.2569,0.0360,0.0430
43,2,29,3,25.7929,0.0742,0.0185
103,1,20,2,12.7575,0.0159,0.0477
103,2,14,1,29.1732,0.1078,0.0146
163,1,8,3,29.8865,0.0033,0.0429
163,2,49,1,43.9436,0.0595,0.0436
223,1,15,1,29.4681,0.0179,0.0233
223,2,32,1,1.0984,0.1695,0.0157
283,1,21,2,17.2416,0.0256,0.0653
283,2,1,1,26.3510,0.0314,0.0311
343,1,1013,1,24.6252,0.0128,0.0551
343,2,9,2,45.9169,0.0609,0.0383
403,1,41,1,17.1287,0.1142,0.0763
403,2,16,1,23.8851,0.0272,0.0060
463,1,10,1,20.2718,0.0350,0.0571
463,2,34,5,37.6330,0.0714,0.0524
523,1,7,2,14.6007,0.0508,0.0254
523,2,10,1,32.9343,0.1168,0.0279
583,1,45,3,24.5166,0.0320,0.0568
583,2,15,2,32.2665,0.1365,0.0277
643,1,42,2,31.7757,0.0333,0.0204
643,2,12,1,30.9917,0.1654,0.1464
703,1,28,3,14.9622,0.0186,0.0309
703,2,19,2,23.5785,0.0150,0.0214
763,1,9,1,6.1965,0.1893,0.0885
763,2,3,1,23.6661,0.0261,0.0051
823,1,12,4,9.5418,0.3850,0.0489
823,2,7,1,25.7709,0.0831,0.1005
883,1,46,5,23.4532,0.2288,0.0134
883,2,3,3,2.2279,0.1209,0.0578
943,1,235,2,27.2621,0.3444,0.0164
943,2,2,2,7.1444,0.0813,0.0246
1003,1,45,2,12.9810,0.0390,0.0172
1003,2,20,1,27.8275,0.1029,0.0308
1063,1,29,3,15.0170,0.0583,0.0706
1063,2,9,2,26.2870,0.0016,0.1328
1123,1,63,5,16.0849,0.0611,0.0031
1123,2,46,1,27.3046,0.0472,0.0283
1183,1,21,1,17.4194,0.1011,0.0475
1183,2,24,3,20.9559,0.2327,0.0357
1243,1,41,1,10.3321,0.0971,0.0266
1243,2,10,1,25.0318,0.0974,0.0163
1303,1,44,2,22.0437,0.0815,0.0307
1303,2,42,5,34.6060,0.0047,0.0661
1363,1,17,3,28.2739,0.1348,0.0702
1363,2,39,1,31.7137,0.0948,0.0383
1423,1,22,1,21.0884,0.0243,0.0158
1423,2,13,3,9.6292,0.0849,0.0560
1483,1,46,2,10.9725,0.0667,0.0467
1483,2,37,4,40.8639,0.0639,0.0112
1543,1,40,1,20.5323,0.0414,0.0779
1543,2,38,4,5.4285,0.0430,0.0325
1603,1,39,1,11.7021,0.0412,0.0500
1603,2,21,1,20.7320,0.0123,0.0151
1663,1,21,2,16.7884,0.0381,0.1051
1663,2,9,3,18.7607,0.0806,0.0088
1723,1,14,2,18.1426,0.0689,0.0394
1723,2,48,1,22.0094,0.0525,0.0372
1783,1,22,2,4.2218,0.1324,0.0539
1783,2,11,5,29.3180,0.0991,0.0177
1843,1,24,3,23.0080,0.0616,0.0362
1843,2,24,1,20.9529,0.0276,0.0752
1903,1,28,2,12.1018,0.0151,0.0190
1903,2,41,1,29.7859,0.0190,0.0051
1963,1,10,2,20.4444,0.1414,0.0293
1963,2,25,1,38.1389,0.0253,0.0640
2023,1,7,4,20.2387,0.0404,0.0492
2023,2,22,3,16.3262,0.1740,0.0238
2083,1,39,1,9.8658,0.1056,0.0521
2083,2,14,2,11.9398,0.1057,0.0298
2143,1,6,2,37.4544,0.0051,0.0151
2143,2,26,2,0.5153,0.0214,0.0223
2203,1,15,2,26.6111,0.1334,0.0768
2203,2,9,2,16.3790,0.2473,0.0494
2263,1,7,3,15.7076,0.0321,0.0489
2263,2,42,1,5.8218,0.0209,0.0277
2323,1,15,3,17.2345,0.0417,0.1193
2323,2,34,2,11.9760,0.1175,0.0333
2383,1,14,3,29.1538,0.1222,0.0207
2383,2,6,7,14.1818,0.0317,0.0349
2443,1,49,1,22.1001,0.2108,0.0386
2443,2,43,2,23.7626,0.1212,0.0190
2503,1,50,3,6.5543,0.2965,0.0169
2503,2,3,4,19.0308,0.0635,0.0086
2563,1,46,2,1.7143,0.0092,0.0327
2563,2,29,3,8.8683,0.0958,0.0201
2623,1,39,2,10.5948,0.2223,0.0055
2623,2,4,2,23.1407,0.0312,0.0256
2683,1,3,1,2.4431,0.1492,0.0362
2683,2,8,1,28.7453,0.1132,0.0254
2743,1,26,1,0.7395,0.0124,0.0434
2743,2,11,1,4.7237,0.1006,0.0536
2803,1,50,2,16.7328,0.1082,0.0056
2803,2,15,1,27.1681,0.2463,0.0586
2863,1,25,1,26.4279,0.2144,0.0212
2863,2,15,4,18.1324,0.0543,0.0251
2923,1,8,1,15.3230,0.1251,0.0250
2923,2,46,1,15.3454,0.0282,0.0415
2983,1,29,1,20.2612,0.0605,0.0236
2983,2,28,5,6.5338,0.0128,0.0321
