order_id,order_ts,order_dt_local,customer_id,store_id,channel,payment_method,coupon_code,shipping_fee,currency
39,2024-02-09 01:03:03.000507,2024-02-09,66,6,pos,giftcard,,3.33,AUD
99,2024-02-09 02:40:03.001287,2024-02-09,71,8,web,paypal,,9.90,AUD
159,2024-02-09 04:17:03.002067,2024-02-09,149,2,web,card,,8.63,AUD
219,2024-02-09 05:54:03.002847,2024-02-09,105,10,pos,paypal,,0.00,AUD
279,2024-02-09 07:31:03.003627,2024-02-09,156,7,pos,card,,3.67,AUD
339,2024-02-09 09:08:03.004407,2024-02-09,16,4,web,cash,,2.16,AUD
399,2024-02-09 10:45:03.005187,2024-02-09,21,8,web,card,,3.16,AUD
459,2024-02-09 12:22:03.005967,2024-02-09,6,2,web,paypal,,6.87,AUD
519,2024-02-09 13:59:03.006747,2024-02-09,155,3,pos,card,,0.34,AUD
579,2024-02-09 15:36:03.007527,2024-02-09,9,8,web,giftcard,,3.78,AUD
639,2024-02-09 17:13:03.008307,2024-02-09,152,7,web,cash,,5.28,AUD
699,2024-02-09 18:50:03.009087,2024-02-09,79,3,web,giftcard,,6.07,AUD
759,2024-02-09 20:27:03.009867,2024-02-09,45,3,web,paypal,,4.51,AUD
819,2024-02-09 22:04:03.010647,2024-02-09,24,2,pos,giftcard,,4.51,AUD
879,2024-02-09 23:41:03.011427,2024-02-09,40,1,web,card,,7.08,AUD
939,2024-02-09 01:18:03.012207,2024-02-09,122,5,web,paypal,,2.87,AUD
999,2024-02-09 02:55:03.012987,2024-02-09,530,315,pos,paypal,,6.08,AUD
1059,2024-02-09 04:32:03.013767,2024-02-09,141,4,web,paypal,,7.40,AUD
1119,2024-02-09 06:09:03.014547,2024-02-09,67,3,pos,cash,,8.92,AUD
1179,2024-02-09 07:46:03.015327,2024-02-09,147,2,pos,giftcard,,0.97,AUD
1239,2024-02-09 09:23:03.016107,2024-02-09,20,1,pos,paypal,,0.00,AUD
1299,2024-02-09 11:00:03.016887,2024-02-09,116,10,web,giftcard,,3.14,AUD
1359,2024-02-09 12:37:03.017667,2024-02-09,2,1,pos,card,,2.29,AUD
1419,2024-02-09 14:14:03.018447,2024-02-09,9,3,pos,card,,5.19,AUD
1479,2024-02-09 15:51:03.019227,2024-02-09,107,10,pos,paypal,,5.82,AUD
1539,2024-02-09 17:28:03.020007,2024-02-09,149,5,web,cash,,2.07,AUD
1599,2024-02-09 19:05:03.020787,2024-02-09,83,4,pos,cash,,3.70,AUD
1659,2024-02-09 20:42:03.021567,2024-02-09,96,7,pos,card,,6.36,AUD
1719,2024-02-09 22:19:03.022347,2024-02-09,53,5,pos,giftcard,,1.53,AUD
1779,2024-02-09 23:56:03.023127,2024-02-09,47,2,web,paypal,,7.96,AUD
1839,2024-02-09 01:33:03.023907,2024-02-09,120,3,pos,giftcard,,5.30,AUD
1899,2024-02-09 03:10:03.024687,2024-02-09,112,10,pos,card,CPN2800,0.00,AUD
1959,2024-02-09 04:47:03.025467,2024-02-09,7,7,web,cash,,3.49,AUD
2019,2024-02-09 06:24:03.026247,2024-02-09,156,4,web,paypal,,3.51,AUD
2079,2024-02-09 08:01:03.027027,2024-02-09,2,5,pos,cash,,1.99,AUD
2139,2024-02-09 09:38:03.027807,2024-02-09,69,10,web,paypal,,11.65,AUD
2199,2024-02-09 11:15:03.028587,2024-02-09,48,1,pos,card,,6.26,AUD
2259,2024-02-09 12:52:03.029367,2024-02-09,103,3,pos,cash,,8.81,AUD
2319,2024-02-09 14:29:03.030147,2024-02-09,126,7,pos,giftcard,,0.00,AUD
2379,2024-02-09 16:06:03.030927,2024-02-09,157,3,pos,cash,,3.57,AUD
2439,2024-02-09 17:43:03.031707,2024-02-09,143,8,web,cash,,9.34,AUD
2499,2024-02-09 19:20:03.032487,2024-02-09,139,7,pos,cash,,5.06,AUD
2559,2024-02-09 20:57:03.033267,2024-02-09,79,5,web,giftcard,,4.38,AUD
2619,2024-02-09 22:34:03.034047,2024-02-09,146,9,web,giftcard,,3.23,AUD
2679,2024-02-09 00:11:03.034827,2024-02-09,9,1,pos,cash,,6.46,AUD
2739,2024-02-09 01:48:03.035607,2024-02-09,143,8,web,giftcard,,2.82,AUD
2799,2024-02-09 03:25:03.036387,2024-02-09,16,7,web,cash,,0.79,AUD
2859,2024-02-09 05:02:03.037167,2024-02-09,112,2,web,giftcard,,12.05,AUD
2919,2024-02-09 06:39:03.037947,2024-02-09,72,9,pos,card,,0.78,AUD
2979,2024-02-09 08:16:03.038727,2024-02-09,96,1,web,giftcard,,2.77,AUD
