order_id,order_ts,order_dt_local,customer_id,store_id,channel,payment_method,coupon_code,shipping_fee,currency
38,2024-02-08 01:01:26.000494,2024-02-08,47,9,pos,paypal,,8.45,AUD
98,2024-02-08 02:38:26.001274,2024-02-08,126,1,pos,paypal,,2.65,AUD
158,2024-02-08 04:15:26.002054,2024-02-08,85,5,web,card,CPN8077,6.34,AUD
218,2024-02-08 05:52:26.002834,2024-02-08,137,4,pos,card,,6.14,AUD
278,2024-02-08 07:29:26.003614,2024-02-08,61,4,web,card,,5.15,AUD
338,2024-02-08 09:06:26.004394,2024-02-08,146,9,web,cash,,5.41,AUD
338,2024-02-08 09:06:26.004394,2024-02-08,146,9,web,cash,,5.41,AUD
398,2024-02-08 10:43:26.005174,2024-02-08,102,10,pos,giftcard,,4.48,AUD
458,2024-02-08 12:20:26.005954,2024-02-08,55,9,pos,card,,5.57,AUD
518,2024-02-08 13:57:26.006734,2024-02-08,115,6,web,card,,13.25,AUD
578,2024-02-08 15:34:26.007514,2024-02-08,148,6,web,cash,,11.38,AUD
638,2024-02-08 17:11:26.008294,2024-02-08,127,2,web,cash,,13.63,AUD
698,2024-02-08 18:48:26.009074,2024-02-08,33,1,pos,paypal,CPN8035,2.15,AUD
758,2024-02-08 20:25:26.009854,2024-02-08,133,6,pos,giftcard,,0.00,AUD
818,2024-02-08 22:02:26.010634,2024-02-08,124,3,web,cash,,5.27,AUD
878,2024-02-08 23:39:26.011414,2024-02-08,57,6,pos,cash,,3.84,AUD
938,2024-02-08 01:16:26.012194,2024-02-08,157,5,pos,cash,,5.32,AUD
998,2024-02-08 02:53:26.012974,2024-02-08,130,1,pos,card,CPN2287,5.43,AUD
1058,2024-02-08 04:30:26.013754,2024-02-08,153,3,web,paypal,,6.52,AUD
1118,2024-02-08 06:07:26.014534,2024-02-08,107,9,pos,card,,4.30,AUD
1178,2024-02-08 07:44:26.015314,2024-02-08,106,5,pos,cash,,7.28,AUD
1238,2024-02-08 09:21:26.016094,2024-02-08,44,3,web,paypal,CPN2365,1.88,AUD
1298,2024-02-08 10:58:26.016874,2024-02-08,103,6,pos,paypal,,7.56,AUD
1358,2024-02-08 12:35:26.017654,2024-02-08,77,10,pos,card,,1.00,AUD
1418,2024-02-08 14:12:26.018434,2024-02-08,487,533,pos,giftcard,,5.26,AUD
1478,2024-02-08 15:49:26.019214,2024-02-08,115,2,pos,paypal,CPN5340,0.66,AUD
1538,2024-02-08 17:26:26.019994,2024-02-08,18,2,web,giftcard,,2.17,AUD
1598,2024-02-08 19:03:26.020774,2024-02-08,158,1,web,cash,,5.68,AUD
1658,2024-02-08 20:40:26.021554,2024-02-08,81,8,web,paypal,,4.14,AUD
1718,2024-02-08 22:17:26.022334,2024-02-08,98,1,pos,card,,3.65,AUD
1778,2024-02-08 23:54:26.023114,2024-02-08,129,1,web,cash,,3.98,AUD
1838,2024-02-08 01:31:26.023894,2024-02-08,4,2,web,paypal,,8.52,AUD
1898,2024-02-08 03:08:26.024674,2024-02-08,82,2,web,card,,3.70,AUD
1958,2024-02-08 04:45:26.025454,2024-02-08,154,6,web,card,,4.85,AUD
2018,2024-02-08 06:22:26.026234,2024-02-08,6,5,pos,paypal,,5.91,AUD
2078,2024-02-08 07:59:26.027014,2024-02-08,69,1,pos,cash,,2.91,AUD
2138,2024-02-08 09:36:26.027794,2024-02-08,127,2,pos,giftcard,,9.13,AUD
2198,2024-02-08 11:13:26.028574,2024-02-08,136,10,web,card,,6.23,AUD
2258,2024-02-08 12:50:26.029354,2024-02-08,90,10,pos,card,,5.38,AUD
2318,2024-02-08 14:27:26.030134,2024-02-08,48,3,web,paypal,,7.91,AUD
2378,2024-02-08 16:04:26.030914,2024-02-08,22,2,pos,card,,3.23,AUD
2438,2024-02-08 17:41:26.031694,2024-02-08,53,6,pos,cash,,6.76,AUD
2498,2024-02-08 19:18:26.032474,2024-02-08,27,8,pos,paypal,,1.88,AUD
2558,2024-02-08 20:55:26.033254,2024-02-08,39,9,web,cash,,4.26,AUD
2618,2024-02-08 22:32:26.034034,2024-02-08,108,5,web,card,,6.11,AUD
2678,2024-02-08 00:09:26.034814,2024-02-08,153,8,web,card,,7.99,AUD
2738,2024-02-08 01:46:26.035594,2024-02-08,10,4,pos,card,CPN1270,2.75,AUD
2798,2024-02-08 03:23:26.036374,2024-02-08,26,5,pos,paypal,,5.45,AUD
2858,2024-02-08 05:00:26.037154,2024-02-08,41,4,pos,paypal,,10.04,AUD
2918,2024-02-08 06:37:26.037934,2024-02-08,112,5,web,giftcard,,7.85,AUD
2978,2024-02-08 08:14:26.038714,2024-02-08,68,4,pos,cash,,7.08,AUD
