sensor_ts,store_id,shelf_id,temperature_c,humidity_pct,battery_mv
2024-01-01T00:05:18,7,sensor-7,21.09,36.75,3245
2024-01-02T00:14:08,7,sensor-17,31.14,42.24,3395
2024-01-01T00:22:58,7,sensor-27,22.18,65.59,3995
2024-01-02T00:31:48,7,sensor-37,19.16,45.02,4051
2024-01-01T00:40:38,7,sensor-47,14.20,21.99,3237
2024-01-02T00:49:28,7,sensor-7,24.99,71.86,3643
2024-01-01T00:58:18,7,sensor-17,26.57,52.26,4145
2024-01-02T01:07:08,7,sensor-27,14.29,47.31,3638
2024-01-01T01:15:58,7,sensor-37,20.54,51.69,3896
2024-01-02T01:24:48,7,sensor-47,15.74,58.41,4049
2024-01-01T01:33:38,7,sensor-7,20.49,45.71,3184
2024-01-02T01:42:28,7,sensor-17,25.04,51.59,3220
2024-01-01T01:51:18,7,sensor-27,24.42,41.38,3481
2024-01-02T02:00:08,7,sensor-37,19.21,42.18,3532
2024-01-01T02:08:58,7,sensor-47,22.89,49.24,3799
2024-01-02T02:17:48,7,sensor-7,16.08,53.30,3268
2024-01-01T02:26:38,7,sensor-17,24.42,29.61,3330
2024-01-02T02:35:28,7,sensor-27,22.92,51.43,3901
2024-01-01T02:44:18,7,sensor-37,20.77,40.56,3530
2024-01-02T02:53:08,7,sensor-47,21.66,49.75,3496
2024-01-01T03:01:58,7,sensor-7,24.53,72.35,3362
2024-01-02T03:10:48,7,sensor-17,17.38,34.70,3692
2024-01-01T03:19:38,7,sensor-27,18.20,49.94,3176
2024-01-02T03:28:28,7,sensor-37,33.00,48.48,3386
2024-01-01T03:37:18,7,sensor-47,21.98,27.43,3686
2024-01-02T03:46:08,7,sensor-7,23.72,31.42,3864
2024-01-01T03:54:58,7,sensor-17,23.66,41.16,4137
2024-01-02T04:03:48,7,sensor-27,14.89,45.78,3658
2024-01-01T04:12:38,7,sensor-37,20.18,32.18,3473
2024-01-02T04:21:28,7,sensor-47,30.67,61.58,3014
2024-01-01T04:30:18,7,sensor-7,19.92,50.23,3127
2024-01-02T04:39:08,7,sensor-17,18.98,45.57,4106
2024-01-01T04:47:58,7,sensor-27,19.89,42.57,3995
2024-01-02T04:56:48,7,sensor-37,15.52,50.20,3738
2024-01-01T05:05:38,7,sensor-47,20.50,27.11,3112
2024-01-02T05:14:28,7,sensor-7,21.64,47.94,3813
2024-01-01T05:23:18,7,sensor-17,13.26,23.01,3320
2024-01-02T05:32:08,7,sensor-27,26.74,44.19,4057
2024-01-01T05:40:58,7,sensor-37,21.39,42.17,3878
2024-01-02T05:49:48,7,sensor-47,29.79,48.25,3757
2024-01-01T05:58:38,7,sensor-7,27.75,31.11,3186
2024-01-02T06:07:28,7,sensor-17,23.67,46.47,3899
2024-01-01T06:16:18,7,sensor-27,17.54,64.05,4147
2024-01-02T06:25:08,7,sensor-37,17.28,50.18,4066
