sensor_ts,store_id,shelf_id,temperature_c,humidity_pct,battery_mv
2024-01-01T00:07:04,9,sensor-9,29.12,56.54,3512
2024-01-02T00:15:54,9,sensor-19,22.93,33.24,3552
2024-01-01T00:24:44,9,sensor-29,22.19,63.02,3169
2024-01-02T00:33:34,9,sensor-39,22.86,36.93,3393
2024-01-01T00:42:24,9,sensor-49,20.08,50.60,3694
2024-01-02T00:51:14,9,sensor-9,21.50,60.15,3740
2024-01-01T01:00:04,9,sensor-19,18.72,50.08,3763
2024-01-02T01:08:54,9,sensor-29,21.30,24.57,3942
2024-01-01T01:17:44,9,sensor-39,32.40,56.93,3132
2024-01-02T01:26:34,9,sensor-49,23.09,38.99,3695
2024-01-01T01:35:24,9,sensor-9,23.36,61.44,3871
2024-01-02T01:44:14,9,sensor-19,27.15,27.33,3044
2024-01-01T01:53:04,9,sensor-29,18.52,43.06,3858
2024-01-02T02:01:54,9,sensor-39,23.01,19.45,3708
2024-01-01T02:10:44,9,sensor-49,27.43,24.33,3296
2024-01-02T02:19:34,9,sensor-9,17.25,47.03,3424
2024-01-01T02:28:24,9,sensor-19,24.79,33.67,3273
2024-01-02T02:37:14,9,sensor-29,20.95,34.72,3664
2024-01-01T02:46:04,9,sensor-39,20.47,38.08,3883
2024-01-02T02:54:54,9,sensor-49,23.96,25.37,4155
2024-01-01T03:03:44,9,sensor-9,17.18,43.94,4117
2024-01-02T03:12:34,9,sensor-19,26.05,28.36,4108
2024-01-01T03:21:24,9,sensor-29,22.18,59.72,3116
2024-01-02T03:30:14,9,sensor-39,27.25,56.94,3117
2024-01-01T03:39:04,9,sensor-49,22.57,38.52,3030
2024-01-02T03:47:54,9,sensor-9,24.70,38.13,3162
2024-01-01T03:56:44,9,sensor-19,22.50,56.35,3759
2024-01-02T04:05:34,9,sensor-29,27.08,43.16,3331
2024-01-01T04:14:24,9,sensor-39,23.63,46.65,3319
2024-01-02T04:23:14,9,sensor-49,16.16,37.32,3860
2024-01-01T04:32:04,9,sensor-9,16.73,25.27,4049
2024-01-02T04:40:54,9,sensor-19,23.33,45.05,3328
2024-01-01T04:49:44,9,sensor-29,27.51,45.36,4019
2024-01-02T04:58:34,9,sensor-39,19.40,50.12,3481
2024-01-01T05:07:24,9,sensor-49,22.10,53.88,3392
2024-01-02T05:16:14,9,sensor-9,17.86,47.73,3598
2024-01-01T05:25:04,9,sensor-19,21.15,51.70,3649
2024-01-02T05:33:54,9,sensor-29,26.24,37.44,3897
2024-01-01T05:42:44,9,sensor-39,24.61,30.92,3587
2024-01-02T05:51:34,9,sensor-49,29.45,43.95,3707
2024-01-01T06:00:24,9,sensor-9,15.18,55.53,3049
2024-01-02T06:09:14,9,sensor-19,22.17,25.39,3984
