sensor_ts,store_id,shelf_id,temperature_c,humidity_pct,battery_mv
2024-01-01T00:07:57,10,sensor-10,18.93,37.72,3756
2024-01-02T00:16:47,10,sensor-20,25.29,40.07,3412
2024-01-01T00:25:37,10,sensor-30,17.33,49.96,3812
2024-01-02T00:34:27,10,sensor-40,22.74,41.13,3116
2024-01-01T00:43:17,10,sensor-50,16.59,32.02,3841
2024-01-02T00:52:07,10,sensor-10,31.03,22.20,3167
2024-01-01T01:00:57,10,sensor-20,27.89,31.15,3163
2024-01-02T01:09:47,10,sensor-30,26.55,31.03,4052
2024-01-01T01:18:37,10,sensor-40,21.80,52.74,4119
2024-01-02T01:27:27,10,sensor-50,18.67,40.43,3913
2024-01-01T01:36:17,10,sensor-10,27.91,52.16,3489
2024-01-02T01:45:07,10,sensor-20,23.99,32.90,3749
2024-01-01T01:53:57,10,sensor-30,16.66,48.59,3152
2024-01-02T02:02:47,10,sensor-40,23.15,51.72,3873
2024-01-01T02:11:37,10,sensor-50,23.39,38.44,3544
2024-01-02T02:20:27,10,sensor-10,24.16,51.70,3029
2024-01-01T02:29:17,10,sensor-20,21.50,21.32,3132
2024-01-02T02:38:07,10,sensor-30,24.05,47.63,3349
2024-01-01T02:46:57,10,sensor-40,21.72,51.21,3751
2024-01-02T02:55:47,10,sensor-50,15.55,38.72,3594
2024-01-01T03:04:37,10,sensor-10,22.80,35.36,3616
2024-01-02T03:13:27,10,sensor-20,28.08,38.44,4075
2024-01-01T03:22:17,10,sensor-30,22.96,49.63,3072
2024-01-02T03:31:07,10,sensor-40,24.10,52.05,3422
2024-01-01T03:39:57,10,sensor-50,28.58,54.75,3717
2024-01-02T03:48:47,10,sensor-10,22.04,66.91,3032
2024-01-01T03:57:37,10,sensor-20,16.27,47.64,3902
2024-01-02T04:06:27,10,sensor-30,23.43,37.35,3794
2024-01-01T04:15:17,10,sensor-40,27.85,64.03,4088
2024-01-02T04:24:07,10,sensor-50,22.39,52.84,4013
2024-01-01T04:32:57,10,sensor-10,23.94,37.02,3356
2024-01-02T04:41:47,10,sensor-20,27.39,29.92,3177
2024-01-01T04:50:37,10,sensor-30,19.40,62.74,3151
2024-01-02T04:59:27,10,sensor-40,20.83,42.63,3909
2024-01-01T05:08:17,10,sensor-50,18.50,58.38,3747
2024-01-02T05:17:07,10,sensor-10,19.40,62.21,3449
2024-01-01T05:25:57,10,sensor-20,21.48,48.58,3039
2024-01-02T05:34:47,10,sensor-30,20.57,44.52,3263
2024-01-01T05:43:37,10,sensor-40,24.81,31.97,3656
2024-01-02T05:52:27,10,sensor-50,21.20,19.36,3011
2024-01-01T06:01:17,10,sensor-10,16.07,42.52,3458
2024-01-02T06:10:07,10,sensor-20,31.24,68.41,3175
2024-01-01T06:18:57,10,sensor-30,22.90,37.64,4198
2024-01-02T06:27:47,10,sensor-40,29.72,45.74,3808
2024-01-01T06:36:37,10,sensor-50,23.28,45.78,3427
2024-01-02T06:45:27,10,sensor-10,20.79,48.77,3151
2024-01-01T06:54:17,10,sensor-20,19.32,53.53,3968
2024-01-02T07:03:07,10,sensor-30,27.93,48.92,3407
2024-01-01T07:11:57,10,sensor-40,19.29,30.53,3086
2024-01-02T07:20:47,10,sensor-50,17.06,55.97,4168
2024-01-01T07:29:37,10,sensor-10,23.37,51.08,3445
2024-01-02T07:38:27,10,sensor-20,20.97,33.63,3399
2024-01-01T07:47:17,10,sensor-30,18.26,60.32,3682
2024-01-02T07:56:07,10,sensor-40,23.07,59.72,3389
2024-01-01T08:04:57,10,sensor-50,28.40,36.15,3951
2024-01-02T08:13:47,10,sensor-10,21.27,60.87,3240
2024-01-01T08:22:37,10,sensor-20,26.78,43.42,3987
2024-01-02T08:31:27,10,sensor-30,26.73,28.91,4062
2024-01-01T08:40:17,10,sensor-40,20.05,67.49,3100
2024-01-02T08:49:07,10,sensor-50,21.40,16.93,3448
2024-01-01T08:57:57,10,sensor-10,23.81,60.06,3011
2024-01-02T09:06:47,10,sensor-20,17.86,26.63,3607
2024-01-01T09:15:37,10,sensor-30,28.74,58.08,4014
2024-01-02T09:24:27,10,sensor-40,26.18,39.89,3467
2024-01-01T09:33:17,10,sensor-50,28.03,36.22,3911
2024-01-02T09:42:07,10,sensor-10,19.88,48.37,3062
2024-01-01T09:50:57,10,sensor-20,19.63,47.66,3888
2024-01-02T09:59:47,10,sensor-30,23.87,55.18,3700
